relation_type,relation_label,obj_1,obj_2,generative_text,Rank1_word,Rank2_word,Rank3_word,accuracy
MadeOf,is made of,A book,Paper,"['paper', 'wood', 'paper', 'paper', 'paper', 'cardboard', 'glass', 'paper', 'leather', 'paper', 'parchment', 'paper', 'wooden', 'metal', 'paper', 'ink', 'paper', 'stone', 'wood', 'books']",paper,wood,cardboard,0.0
MadeOf,is made of,peanut butter,peanuts,"['chocolate', 'milk', 'milk', 'peanut butter', 'eggs', 'milk', 'cheese', 'eggs', 'eggs', 'chocolate', 'eggs', 'chocolate', 'milk', 'milk', 'milk', 'milk', 'chocolate', 'chocolate', 'chocolate', 'milk']",milk,chocolate,eggs,0.0
MadeOf,is made of,an iPod,microchips and plastic,"['iPod', 'iPad', 'iPod', 'iPhone', 'computer', 'laptop', 'iPhone', 'iPod', 'laptop', 'computer', 'books', 'phone', 'computer', 'an iPad', 'headphones', 'phone', 'headphones', 'iPod', 'an iPad', 'a TV']",iPod,computer,iPhone,0.0
MadeOf,is made of,a bicycle,metal,"['car', 'car', 'a car', 'bicycle', 'a car', 'car', 'bicycle', 'car', 'horse', 'car', 'a car', 'a car', 'bike', 'boat', 'car', 'bicycle', 'motorcycle', 'skateboard', 'horse', 'wood']",car,a car,bicycle,0.0
MadeOf,is made of,A lens,glass,"['glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'paper', 'glass', 'glass', 'glass', 'paper', 'glass', 'paper', 'glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'paper']",glass,paper,,0.8
MadeOf,is made of,gnocchi,potato,"['cheese', 'paper', 'bread', 'eggs', 'cheese', 'bread', 'cheese', 'eggs', 'eggs', 'cheese', 'bread', 'cheese', 'eggs', 'cheese', 'eggs', 'eggs', 'cheese', 'cheese', 'bread', 'paper']",cheese,eggs,bread,0.0
MadeOf,is made of,silverware ,metal,"['glass', 'gold', 'jewelry', 'glass', 'metal', 'silverware', 'glass', 'paper', 'silverware', 'wood', 'gold', 'glass', 'glass', 'gold', 'glass', 'jewelry', 'glass', 'gold', 'gold', 'gold']",glass,gold,jewelry,0.05
MadeOf,is made of,Ocean ,water,"['water', 'sand', 'rocks', 'water', 'ice', 'water', 'wood', 'rock', 'ocean', 'water', 'sand', 'rocks', 'water', 'water', 'water', 'water', 'sand', 'water', 'rocks', 'rock']",water,sand,rocks,0.45
MadeOf,is made of,Ice,water,"['wood', 'wood', 'water', 'wood', 'stone', 'wood', 'wood', 'wood', 'wood', 'wood', 'snow', 'wood', 'water', 'water', 'ice', 'glass', 'water', 'water', 'stone', 'water']",wood,water,stone,0.3
MadeOf,is made of,A tree is a plant,and,"['wood', 'water', 'trees', 'grass', 'wood', 'sand', 'stone', 'wood', 'a tree is a tree', 'eucalyptus', 'wood', 'wood', 'wood', 'wood', 'eggs', 'eggs', 'water', 'grass', 'wood', 'wood']",wood,water,grass,0.05
MadeOf,is made of,sword,steel,"['sword', 'sword', 'sword', 'sword', 'sword', 'sword', 'sword', 'sword', 'sword', 'stone', 'stone', 'wood', 'wood', 'glass', 'sword', 'sword', 'stone', 'wood', 'wood', 'wood']",sword,wood,stone,0.0
MadeOf,is made of,Paper ,trees,"['wood', 'wood', 'paper', 'wood', 'glass', 'cardboard', 'wood', 'paper', 'metal', 'wood', 'wood', 'wood', 'wood', 'wood', 'wood', 'wood', 'paper', 'glass', 'wood', 'wood']",wood,paper,glass,0.0
MadeOf,is made of,a brick,clay,"['wood', 'stone', 'paper', 'wood', 'glass', 'stone', 'paper', 'stone', 'wood', 'metal', 'wood', 'glass', 'wood', 'stone', 'paper', 'wood', 'stone', 'wood', 'stone', 'glass']",wood,stone,paper,0.0
MadeOf,is made of,bottle,plastic,"['glass', 'bottle', 'glass', 'paper', 'glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'glass', 'paper', 'bag', 'glass', 'wine', 'glass']",glass,paper,bottle,0.0
MadeOf,is made of,water,oxygen,"['wood', 'sand', 'wood', 'paper', 'glass', 'stone', 'ice', 'wood', 'eggs', 'wood', 'wood', 'wood', 'paper', 'stone', 'sand', 'paper', 'glass', 'glass', 'paper', 'eggs']",wood,paper,glass,0.0
MadeOf,is made of,A newspaper,ink and paper,"['paper', 'paper', 'newspaper', 'paper', 'paper', 'newspaper', 'paper', 'paper', 'paper', 'wood', 'paper', 'newspaper', 'paper', 'paper', 'paper', 'paper', 'paper', 'paper', 'paper', 'glass']",paper,newspaper,wood,0.0
MadeOf,is made of,Steel,iron,"['metal', 'metal', 'wood', 'iron', 'metal', 'wood', 'wood', 'stone', 'glass', 'metal', 'glass', 'iron', 'stone', 'metal', 'glass', 'wood', 'iron', 'wood', 'wood', 'stone']",wood,metal,iron,0.15
MadeOf,is made of,Some lenses,glass,"['glass', 'glass', 'paper', 'glass', 'glass', 'glass', 'glass', 'lenses', 'glass', 'wood', 'glasses', 'glass', 'glass', 'paper', 'glass', 'glasses', 'glass', 'glass', 'glass', 'paper']",glass,paper,glasses,0.65
MadeOf,is made of,"An U.F.O,",alien material,"['paper', 'paper', 'U.F.O.', 'water', 'books', 'wood', 'wood', 'eggs', 'books', 'eggs', 'water', 'glass', 'paper', 'paper', 'book', 'wood', 'gold', 'water', 'furniture', 'wood']",paper,wood,water,0.0
MadeOf,is made of,a room,four walls,"['furniture', 'furniture', 'books', 'furniture', 'table', 'wood', 'chairs', 'chairs', 'a room', 'glass', 'books', 'glass', 'furniture', 'wood', 'a room', 'a table', 'furniture', 'glass', 'furniture', 'a chair']",furniture,glass,books,0.0
MadeOf,is made of,gnocchi,potato,"['cheese', 'paper', 'bread', 'eggs', 'cheese', 'bread', 'cheese', 'eggs', 'eggs', 'cheese', 'bread', 'cheese', 'eggs', 'cheese', 'eggs', 'eggs', 'cheese', 'cheese', 'bread', 'paper']",cheese,eggs,bread,0.0
MadeOf,is made of,water,oxygen,"['wood', 'sand', 'wood', 'paper', 'glass', 'stone', 'ice', 'wood', 'eggs', 'wood', 'wood', 'wood', 'paper', 'stone', 'sand', 'paper', 'glass', 'glass', 'paper', 'eggs']",wood,paper,glass,0.0
MadeOf,is made of,Paper ,trees,"['wood', 'wood', 'paper', 'wood', 'glass', 'cardboard', 'wood', 'paper', 'metal', 'wood', 'wood', 'wood', 'wood', 'wood', 'wood', 'wood', 'paper', 'glass', 'wood', 'wood']",wood,paper,glass,0.0
